step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
66,7.691998481750488,0.021506309509277344,0.26397580094635487,0.2854821104556322,1281277952,17996950528,6632702464,28384554496,,
67,7.719762802124023,0.021227968856692314,0.2640576409175992,0.2852856097742915,1281277952,17996950528,6632702464,28384554496,,
68,7.690685272216797,0.02107715792953968,0.26405506022274494,0.2851322181522846,1281277952,17996950528,6632571392,28384554496,,
69,7.671035289764404,0.021193048916757107,0.2642314014956355,0.2854244504123926,1281146880,17996819456,6632735232,28384554496,,
70,7.695811748504639,0.031183499842882156,0.26402385998517275,0.2952073598280549,1281310720,17996295168,6631916032,28383866368,7.646685936411873,0.18208506379704006
71,7.67899751663208,0.021925032138824463,0.2771880878135562,0.29911311995238066,1280491520,17995475968,6631916032,28383866368,,
72,7.703927993774414,0.02307292725890875,0.26406205072999,0.28713497798889875,1280491520,17995475968,6631752192,28383866368,,
73,7.6661882400512695,0.021139947697520256,0.2841139128431678,0.30525386054068804,1280327680,17994492928,6632636928,28383047168,,
74,7.646485805511475,0.04086435865610838,0.2666661739349365,0.3075305325910449,1281212416,17996196864,6632636928,28383866368,,
75,7.632469177246094,0.021068948321044445,0.26425059139728546,0.2853195397183299,1281212416,17996196864,6631916032,28383866368,,
76,7.609334945678711,0.021306918933987617,0.2897686120122671,0.31107553094625473,1280491520,17995475968,6632702464,28383866368,,
77,7.6199727058410645,0.03905020002275705,0.26574624981731176,0.3047964498400688,1281277952,17996262400,6632636928,28383866368,,
78,7.624129772186279,0.021013877354562283,0.26400454994291067,0.28501842729747295,1281212416,17996196864,6631916032,28383866368,,
79,7.646790504455566,0.021209338679909706,0.26422752160578966,0.28543686028569937,1280491520,17995607040,6631916032,28383997440,,
80,7.58670711517334,0.021741431206464767,0.26430877204984426,0.28605020325630903,1280491520,17995475968,6631916032,28383866368,7.581213497724689,0.1833932503111294
81,7.609692573547363,0.026186942122876644,0.2866127761080861,0.31279971823096275,1280491520,17995672576,6632636928,28384062976,,
82,7.595038890838623,0.02222993690520525,0.26467570941895247,0.2869056463241577,1281212416,17996393472,6631916032,28384062976,,
83,7.5965576171875,0.022759039886295795,0.26426699850708246,0.28702603839337826,1280491520,17995672576,6631916032,28384062976,,
84,7.602519512176514,0.02198999561369419,0.27436205092817545,0.29635204654186964,1280491520,17995672576,6631916032,28384062976,,
85,7.563209533691406,0.040514630265533924,0.26583487819880247,0.3063495084643364,1280491520,17995475968,6631752192,28383866368,,
86,7.585880279541016,0.021274780854582787,0.28319983556866646,0.30447461642324924,1280327680,17995508736,6631916032,28384062976,,
87,7.523040294647217,0.027419918216764927,0.267071595415473,0.2944915136322379,1280491520,17995672576,6631916032,28384062976,,
88,7.575530052185059,0.021163489669561386,0.26423076912760735,0.28539425879716873,1280491520,17995475968,6632636928,28383866368,,
89,7.579902172088623,0.021173380315303802,0.2642660476267338,0.2854394279420376,1281212416,17996196864,6631752192,28383866368,,
90,7.5678510665893555,0.02121651079505682,0.2639542566612363,0.2851707674562931,1280327680,17995607040,6631752192,28384161280,7.535770353723745,0.18290356293198515
91,7.550232410430908,0.025783827528357506,0.2837614482268691,0.3095452757552266,1280327680,17995607040,6631752192,28384161280,,
92,7.593940258026123,0.02117444947361946,0.2640511551871896,0.28522560466080904,1280327680,17995475968,6631752192,28384030208,,
93,7.5554280281066895,0.030717608518898487,0.2642440376803279,0.2949616461992264,1280327680,17995475968,6631752192,28384030208,,
94,7.538885116577148,0.021146811544895172,0.2643624097108841,0.28550922125577927,1280327680,17996884992,6631752192,28385439232,,
95,7.540128231048584,0.03370608855038881,0.26873033586889505,0.30243642441928387,1280327680,17995475968,6631752192,28384030208,,
96,7.583078861236572,0.02107150014489889,0.2640124475583434,0.2850839477032423,1280327680,17995475968,6631752192,28384030208,,
97,7.529651641845703,0.021438151597976685,0.26425535697489977,0.28569350857287645,1280327680,17995475968,6632014336,28384030208,,
98,7.526814937591553,0.021198141388595104,0.26430524978786707,0.2855033911764622,1280589824,17995738112,6631752192,28384030208,,
99,7.502017021179199,0.03024381585419178,0.26489593274891376,0.29513974860310555,1280327680,17995508736,6631752192,28384062976,,
100,7.554664611816406,0.04692940879613161,0.27897954918444157,0.3259089579805732,1280327680,17994492928,6631948800,28383047168,7.4989756677971515,0.18352471134762782
101,7.469579696655273,0.027903501875698566,0.29867997020483017,0.32658347208052874,1280524288,17995508736,6631948800,28383866368,,
102,7.543594837188721,0.02111314982175827,0.2642712388187647,0.28538438864052296,1280524288,17995541504,6631948800,28383899136,,
103,7.540693283081055,0.02117822039872408,0.26432111859321594,0.28549933899194,1280524288,17995508736,6631916032,28383866368,,
104,7.500194549560547,0.024464569985866547,0.264732020907104,0.28919659089297056,1280491520,17995475968,6632014336,28383866368,,
105,7.481162071228027,0.021329501643776894,0.26396344602108,0.2852929476648569,1280589824,17995574272,6633161216,28383866368,,
106,7.499689102172852,0.021145319566130638,0.292166979983449,0.3133122995495796,1281736704,17996721152,6631916032,28383866368,,
107,7.533163070678711,0.05057912226766348,0.2643499281257391,0.3149290503934026,1280491520,17995475968,6631916032,28383866368,,
108,7.510760307312012,0.021321781910955906,0.2644011387601495,0.2857229206711054,1280491520,17995475968,6631916032,28383866368,,
